Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-181022-2-ND,445-181022-1-ND","CGA3E3X8R2A223K080AE","TDK Corporation","TDK Corporation","CAP CER 0.022UF 100V X8R 0603","0","0.06716","0","4000","Tape & Reel (TR),Cut Tape (CT)","CGA","Active","0.022 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","CGA4J2X8R2A223K125AE-ND","CGA4J2X8R2A223K125AE","TDK Corporation","TDK Corporation","CAP CER 0.022UF 100V X8R 0805","0","0.0792","0","2000","Tape & Reel (TR)","CGA","Active","0.022 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173802-2-ND,445-173802-1-ND,445-173802-6-ND","CGA3E2X8R1H153K080AE","TDK Corporation","TDK Corporation","CAP CER 0.015UF 50V X8R 0603","500","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Not For New Designs","0.015 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","CGA2B3X8R1E153K050BE-ND","CGA2B3X8R1E153K050BE","TDK Corporation","TDK Corporation","CAP CER 0.015UF 25V X8R 0402","0","0.04389","0","10000","Tape & Reel (TR)","CGA","Not For New Designs","0.015 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","CGA3E2X8R2A153K080AE-ND","CGA3E2X8R2A153K080AE","TDK Corporation","TDK Corporation","CAP CER 0.015UF 100V X8R 0603","0","0.05698","0","4000","Tape & Reel (TR)","CGA","Not For New Designs","0.015 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","445-173792-2-ND,445-173792-1-ND,445-173792-6-ND","CGA2B2X8R1E103K050BE","TDK Corporation","TDK Corporation","CAP CER 10000PF 25V X8R 0402","118,039","0.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","10000 pF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","445-173760-2-ND,445-173760-1-ND,445-173760-6-ND","CGA2B3X8R1H103K050BE","TDK Corporation","TDK Corporation","CAP CER 10000PF 50V X8R 0402","21,240","0.25","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","10000 pF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173701-2-ND,445-173701-1-ND,445-173701-6-ND","CGA3E2X8R1H103K080AE","TDK Corporation","TDK Corporation","CAP CER 10000PF 50V X8R 0603","9,030","0.24","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","10000 pF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173727-2-ND,445-173727-1-ND,445-173727-6-ND","CGA3E2X8R2A103K080AE","TDK Corporation","TDK Corporation","CAP CER 10000PF 100V X8R 0603","36","0.29","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","10000 pF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173857-2-ND,445-173857-1-ND,445-173857-6-ND","CGA3E2X8R1H682K080AE","TDK Corporation","TDK Corporation","CAP CER 6800PF 50V X8R 0603","3,710","0.24","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Not For New Designs","6800 pF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","CGA2B2X8R1E682K050BE-ND","CGA2B2X8R1E682K050BE","TDK Corporation","TDK Corporation","CAP CER 6800PF 25V X8R 0402","0","0.03971","0","10000","Tape & Reel (TR)","CGA","Not For New Designs","6800 pF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
